% restaurants
1|Restaurant 1|60.393096|5.360610
2|Restaurant 2|60.394708|5.326791
3|Restaurant 3|60.388251|5.343546
4|Restaurant 4|60.378589|5.307878
5|Restaurant 5|60.379432|5.317590
6|Restaurant 6|60.390688|5.352076
7|Restaurant 7|60.382589|5.322953
8|Restaurant 8|60.385382|5.328888
9|Restaurant 9|60.384440|5.317064
10|Restaurant 10|60.395099|5.312050
11|Restaurant 11|60.384086|5.323941
12|Restaurant 12|60.392181|5.355362
13|Restaurant 13|60.384711|5.317332
14|Restaurant 14|60.397077|5.311245
15|Restaurant 15|60.400112|5.344212
16|Restaurant 16|60.390075|5.313019
17|Restaurant 17|60.379428|5.338179
18|Restaurant 18|60.402471|5.317143
19|Restaurant 19|60.396066|5.327658
20|Restaurant 20|60.395447|5.317631
21|Restaurant 21|60.381435|5.332877
22|Restaurant 22|60.391467|5.316083
23|Restaurant 23|60.388211|5.333038
24|Restaurant 24|60.390615|5.319476
25|Restaurant 25|60.398047|5.321685
26|Restaurant 26|60.400521|5.317334
27|Restaurant 27|60.398807|5.327509
28|Restaurant 28|60.400981|5.319882
29|Restaurant 29|60.389232|5.328269
30|Restaurant 30|60.383357|5.320673
31|Restaurant 31|60.386486|5.327141
32|Restaurant 32|60.398382|5.346466
33|Restaurant 33|60.381745|5.326162
34|Restaurant 34|60.400964|5.343266
35|Restaurant 35|60.388650|5.334403
36|Restaurant 36|60.377041|5.333059
37|Restaurant 37|60.394738|5.328979
38|Restaurant 38|60.386187|5.343817
39|Restaurant 39|60.395955|5.335270
40|Restaurant 40|60.394302|5.334462
41|Restaurant 41|60.397164|5.324510
42|Restaurant 42|60.380338|5.363667
43|Restaurant 43|60.400946|5.319014
44|Restaurant 44|60.396231|5.340702
45|Restaurant 45|60.379124|5.342386
46|Restaurant 46|60.393582|5.322216
47|Restaurant 47|60.383196|5.333354
48|Restaurant 48|60.381862|5.313415
49|Restaurant 49|60.390936|5.318338
50|Restaurant 50|60.384394|5.324949
51|Restaurant 51|60.388527|5.339395
52|Restaurant 52|60.391629|5.339295
53|Restaurant 53|60.396447|5.353213
54|Restaurant 54|60.376836|5.346859
55|Restaurant 55|60.387587|5.330837
56|Restaurant 56|60.393077|5.324901
57|Restaurant 57|60.377621|5.297478
58|Restaurant 58|60.376899|5.358949
59|Restaurant 59|60.392697|5.334975
60|Restaurant 60|60.389514|5.326392
61|Restaurant 61|60.389161|5.337718
62|Restaurant 62|60.377529|5.354242
63|Restaurant 63|60.378814|5.347112
64|Restaurant 64|60.383482|5.309030
65|Restaurant 65|60.392772|5.352127
66|Restaurant 66|60.393512|5.322093
67|Restaurant 67|60.391334|5.362975
68|Restaurant 68|60.397028|5.317125
69|Restaurant 69|60.397093|5.307504
70|Restaurant 70|60.386397|5.353307
71|Restaurant 71|60.389858|5.337892
72|Restaurant 72|60.392623|5.331529
73|Restaurant 73|60.377500|5.323731
74|Restaurant 74|60.392685|5.359877
75|Restaurant 75|60.392219|5.336938
76|Restaurant 76|60.387904|5.334517
77|Restaurant 77|60.390053|5.361783
78|Restaurant 78|60.398278|5.304573
79|Restaurant 79|60.397897|5.323800
80|Restaurant 80|60.380332|5.310132
81|Restaurant 81|60.396734|5.341341
82|Restaurant 82|60.378180|5.329062
83|Restaurant 83|60.379506|5.307563
84|Restaurant 84|60.378873|5.318551
85|Restaurant 85|60.381119|5.306619
86|Restaurant 86|60.385505|5.333609
87|Restaurant 87|60.392186|5.331840
88|Restaurant 88|60.395236|5.341274
89|Restaurant 89|60.390938|5.341357
90|Restaurant 90|60.396102|5.340171
91|Restaurant 91|60.377167|5.299414
92|Restaurant 92|60.379460|5.322177
93|Restaurant 93|60.399065|5.320735
94|Restaurant 94|60.391574|5.327560
95|Restaurant 95|60.382648|5.334680
96|Restaurant 96|60.387643|5.331417
97|Restaurant 97|60.381362|5.319638
98|Restaurant 98|60.399105|5.344452
99|Restaurant 99|60.378381|5.364554
100|Restaurant 100|60.389261|5.324303
% customers
1|Customer #1|60.402796|5.332118
2|Customer #2|60.385530|5.354224
3|Customer #3|60.396099|5.344858
4|Customer #4|60.398089|5.341195
5|Customer #5|60.387101|5.334032
6|Customer #6|60.387607|5.326483
7|Customer #7|60.381180|5.357636
8|Customer #8|60.395006|5.328474
9|Customer #9|60.384231|5.319029
10|Customer #10|60.388425|5.318590
11|Customer #11|60.378496|5.306787
12|Customer #12|60.396626|5.324801
13|Customer #13|60.397332|5.347589
14|Customer #14|60.399424|5.305302
15|Customer #15|60.393556|5.355203
16|Customer #16|60.401912|5.321212
17|Customer #17|60.386487|5.341865
18|Customer #18|60.378082|5.351712
19|Customer #19|60.377899|5.301516
20|Customer #20|60.385226|5.302681
21|Customer #21|60.383624|5.298682
22|Customer #22|60.379186|5.324028
23|Customer #23|60.390125|5.324198
24|Customer #24|60.388620|5.346598
25|Customer #25|60.377607|5.327945
26|Customer #26|60.383997|5.334407
27|Customer #27|60.397001|5.306852
28|Customer #28|60.380864|5.311040
29|Customer #29|60.401107|5.326874
30|Customer #30|60.382421|5.308542
31|Customer #31|60.389603|5.329592
32|Customer #32|60.388055|5.311338
33|Customer #33|60.379292|5.325963
34|Customer #34|60.393127|5.319166
35|Customer #35|60.387628|5.362625
36|Customer #36|60.384969|5.308133
37|Customer #37|60.402437|5.329307
38|Customer #38|60.401497|5.327140
39|Customer #39|60.401099|5.345947
40|Customer #40|60.393398|5.335973
41|Customer #41|60.388625|5.338697
42|Customer #42|60.402038|5.319389
43|Customer #43|60.387373|5.315520
44|Customer #44|60.387373|5.350684
45|Customer #45|60.400685|5.332261
46|Customer #46|60.377870|5.345335
47|Customer #47|60.382570|5.309037
48|Customer #48|60.381798|5.315057
49|Customer #49|60.377731|5.297940
50|Customer #50|60.394436|5.332619
51|Customer #51|60.400714|5.338274
52|Customer #52|60.384027|5.302382
53|Customer #53|60.399731|5.310403
54|Customer #54|60.390545|5.331551
55|Customer #55|60.394524|5.345328
56|Customer #56|60.376994|5.324769
57|Customer #57|60.393940|5.339204
58|Customer #58|60.392420|5.330706
59|Customer #59|60.390190|5.340665
60|Customer #60|60.382696|5.316793
61|Customer #61|60.395095|5.350823
62|Customer #62|60.398748|5.310760
63|Customer #63|60.391392|5.339943
64|Customer #64|60.399184|5.306607
65|Customer #65|60.387851|5.317317
66|Customer #66|60.380388|5.351317
67|Customer #67|60.380988|5.357107
68|Customer #68|60.387458|5.319327
69|Customer #69|60.385902|5.321444
70|Customer #70|60.377591|5.330727
71|Customer #71|60.391592|5.324089
72|Customer #72|60.377038|5.336604
73|Customer #73|60.394144|5.317879
74|Customer #74|60.378547|5.311574
75|Customer #75|60.380563|5.319413
76|Customer #76|60.395166|5.331651
77|Customer #77|60.401531|5.339445
78|Customer #78|60.385236|5.301266
79|Customer #79|60.379555|5.324964
80|Customer #80|60.389801|5.348502
81|Customer #81|60.387723|5.332757
82|Customer #82|60.381796|5.354770
83|Customer #83|60.380197|5.317968
84|Customer #84|60.399008|5.330019
85|Customer #85|60.383315|5.360843
86|Customer #86|60.378699|5.347339
87|Customer #87|60.390113|5.317822
88|Customer #88|60.396359|5.336197
